bank_tier,current_version,target_version,version_jump_size,system_age_months,last_upgrade_months_ago,code_customization_percent,third_party_integrations,avg_transaction_volume,peak_transaction_volume,system_uptime_percent,avg_response_time_ms,incident_count_last_6months,unplanned_downtime_hours_last_year,infrastructure_model,server_count,database_size_gb,concurrent_users,network_bandwidth_mbps,power_stability_score,deployment_strategy,deployment_automation_level,pm_methodology,critical_incidents_last_year,test_environment_available,backup_verified,rollback_plan_exists,staff_training_completed,early_stage_testing_completed,cbn_compliance_verified,data_localization_compliant,cyber_security_framework_updated,bcp_dr_plan_tested,customer_satisfaction_score,customer_complaints_last_quarter,digital_banking_adoption_percent,service_disruption_tolerance_hours,upgrade_window_hours,business_critical_period,regulatory_compliance_required,dedicated_team_size,vendor_support_available,budget_allocated_usd,external_consultant_engaged,upgrade_success,upgrade_risk_score,system_health_score
tier2,v9.0,v11.0,major_2x,57,7,32.926548553605315,26,321652,655229,99.29551419295625,1540,3,32,private_cloud,16,25052,5094,4994,81.84760490901863,blue_green,72.95389901048068,agile,6,1,1,1,1,1,1,1,0,1,70.66249705621016,8,82.15591227607267,9,42,1,0,13,1,1926363,0,1,69.6952445612667,43.847757096478134
microfinance,v9.0,v9.2,major_2x,84,2,49.428379389687144,21,38162,471064,96.67138612489993,540,5,21,private_cloud,19,17946,540,4548,85.25439861789987,rolling,26.869503344026477,agile,4,1,1,1,1,1,1,0,1,0,77.97981523383565,8,44.88594203545663,1,23,0,0,6,1,665629,0,1,84.80904483421897,62.035693062449965
tier3,v9.2,v9.2,major_1x,78,31,14.680183362808023,32,159388,493685,96.28407097709784,969,9,3,hybrid_cloud,18,6144,5500,1901,78.83592423139557,blue_green,43.35261961539814,scrum,4,1,1,1,1,0,1,1,0,1,72.60686377772794,8,61.362136393259725,1,48,1,1,7,1,536391,1,1,94.2441987729163,50.26203548854892
tier3,v9.0,v10.5,major_2x,50,18,56.322604113197414,11,205484,175638,97.97446927396217,1097,2,21,private_cloud,15,8498,1668,1099,78.66416268556105,big_bang,32.711095912476296,kanban,5,1,1,1,1,1,1,1,1,1,73.09294513900127,10,43.46666329955294,9,4,1,0,3,1,2568297,1,1,74.20972925515964,60.54723463698109
tier2,v10.1,v10.1,major_1x,86,30,60.66969227350721,33,112165,491683,96.13609309003459,576,10,10,on_premise,22,13741,6386,2421,82.80086111538196,blue_green,26.97946889404851,scrum,3,1,1,1,0,0,1,1,1,1,68.16440711968325,4,77.6664987175635,8,30,0,0,5,1,1966158,1,1,100.0,51.5480465450173
tier2,v9.0,v9.0,minor,75,43,54.13436600023337,13,339362,265204,96.38552586079734,1153,13,22,hybrid_cloud,28,9364,3838,7035,89.34128124605742,blue_green,57.50507897212002,agile,0,1,1,1,1,1,1,1,1,1,78.3264167221526,12,53.718268376360655,6,21,1,1,7,0,1537524,0,1,89.72938910916933,25.13276293039867
tier1,v10.1,v10.1,major_2x,29,6,22.537851164081303,42,192073,506601,96.72155354820184,1645,4,43,hybrid_cloud,39,36422,3090,4013,100.0,canary,48.030479646026926,kanban,4,1,1,1,1,1,1,0,1,0,69.48697710626814,7,81.69185354968262,3,71,1,0,5,1,2930995,1,1,77.4533417305518,31.960776774100907
microfinance,v9.0,v9.2,major_1x,69,9,63.06190896733978,13,218067,178256,98.23482904118292,971,0,8,on_premise,11,14634,3338,2686,66.87052740602694,canary,17.211811149947337,waterfall,3,0,1,1,0,1,1,1,1,1,78.39158066580167,17,64.9192779216429,9,20,1,1,6,1,359170,0,1,59.63258816737352,75.69741452059147
tier3,v10.1,v11.0,minor,84,22,54.03173647896663,14,97073,250296,97.83249325185655,1047,5,13,hybrid_cloud,29,25559,3950,2609,73.78457157864796,rolling,66.0621679148035,waterfall,5,1,1,1,0,0,1,1,1,0,86.15989571665683,14,56.04435938525201,2,50,0,0,7,1,984264,1,1,63.60806339735536,56.47624662592827
tier3,v9.0,v9.0,minor,55,13,52.84619888571317,16,312449,543189,95.71452155466928,506,1,7,on_premise,25,22881,2570,5410,74.63714252450336,big_bang,12.900081072053936,kanban,4,1,1,1,1,1,1,1,0,1,86.1062694043232,17,74.38096555815405,7,43,0,0,3,1,1869821,1,1,71.54592939560061,81.23726077733463
